Model,Dataset,Method,Weight,Label,Step,Percentile,AUROC,PRC,Precision,Recall,F1 score,Accuracy,Sensitivity,Specificity,Random Seed,Date
ganomaly.GANomaly,material,fm_1,paper,0,6231,15.991467342376708,0.9778,0.9770571589010588,0.8032786885245902,0.98,0.882882882882883,0.87,0.98,0.76,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_1,paper,0,6231,16.137211227416994,0.9778,0.9770571589010588,0.8166666666666667,0.98,0.890909090909091,0.88,0.98,0.78,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_1,paper,0,6231,16.25360776901245,0.9778,0.9770571589010588,0.8305084745762712,0.98,0.8990825688073395,0.89,0.98,0.8,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_1,paper,0,6231,16.393981399536134,0.9778,0.9770571589010588,0.8448275862068966,0.98,0.9074074074074074,0.9,0.98,0.82,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_1,paper,0,6231,16.45720218658447,0.9778,0.9770571589010588,0.8508771929824561,0.97,0.9065420560747663,0.9,0.97,0.83,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_1,paper,0,6231,16.608138122558593,0.9778,0.9770571589010588,0.8660714285714286,0.97,0.9150943396226415,0.91,0.97,0.85,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_1,paper,0,6231,16.75718994140625,0.9778,0.9770571589010588,0.8818181818181818,0.97,0.9238095238095237,0.92,0.97,0.87,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_1,paper,0,6231,17.00875675201416,0.9778,0.9770571589010588,0.8981481481481481,0.97,0.9326923076923077,0.93,0.97,0.89,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_2,paper,0,6231,1.24635871052742,0.9767,0.9763896299296854,0.8032786885245902,0.98,0.882882882882883,0.87,0.98,0.76,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_2,paper,0,6231,1.2585615396499634,0.9767,0.9763896299296854,0.8166666666666667,0.98,0.890909090909091,0.88,0.98,0.78,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_2,paper,0,6231,1.2645504176616669,0.9767,0.9763896299296854,0.8305084745762712,0.98,0.8990825688073395,0.89,0.98,0.8,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_2,paper,0,6231,1.2731627917289732,0.9767,0.9763896299296854,0.8448275862068966,0.98,0.9074074074074074,0.9,0.98,0.82,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_2,paper,0,6231,1.287291406393051,0.9767,0.9763896299296854,0.8596491228070176,0.98,0.9158878504672898,0.91,0.98,0.84,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_2,paper,0,6231,1.2987240266799926,0.9767,0.9763896299296854,0.875,0.98,0.9245283018867924,0.92,0.98,0.86,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_2,paper,0,6231,1.3067594468593597,0.9767,0.9763896299296854,0.8818181818181818,0.97,0.9238095238095237,0.92,0.97,0.87,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,fm_2,paper,0,6231,1.3215668964385987,0.9767,0.9763896299296854,0.8981481481481481,0.97,0.9326923076923077,0.93,0.97,0.89,652016,Tue Mar 10 20:34:01 2020
ganomaly.GANomaly,material,l1,paper,0,6231,2.12982488155365,0.989,0.9879481858117705,0.819672131147541,1.0,0.9009009009009009,0.89,1.0,0.78,652016,Tue Mar 10 20:34:02 2020
ganomaly.GANomaly,material,l1,paper,0,6231,2.178982067108154,0.989,0.9879481858117705,0.8333333333333334,1.0,0.9090909090909091,0.9,1.0,0.8,652016,Tue Mar 10 20:34:02 2020
ganomaly.GANomaly,material,l1,paper,0,6231,2.216716554164886,0.989,0.9879481858117705,0.847457627118644,1.0,0.9174311926605504,0.91,1.0,0.82,652016,Tue Mar 10 20:34:02 2020
ganomaly.GANomaly,material,l1,paper,0,6231,2.2325762844085695,0.989,0.9879481858117705,0.8620689655172413,1.0,0.9259259259259259,0.92,1.0,0.84,652016,Tue Mar 10 20:34:02 2020
ganomaly.GANomaly,material,l1,paper,0,6231,2.2512474203109742,0.989,0.9879481858117705,0.8771929824561403,1.0,0.9345794392523363,0.93,1.0,0.86,652016,Tue Mar 10 20:34:02 2020
ganomaly.GANomaly,material,l1,paper,0,6231,2.3041613388061526,0.989,0.9879481858117705,0.8839285714285714,0.99,0.9339622641509434,0.93,0.99,0.87,652016,Tue Mar 10 20:34:02 2020
ganomaly.GANomaly,material,l1,paper,0,6231,2.3881797313690187,0.989,0.9879481858117705,0.9,0.99,0.9428571428571428,0.94,0.99,0.89,652016,Tue Mar 10 20:34:02 2020
ganomaly.GANomaly,material,l1,paper,0,6231,2.408650002479553,0.989,0.9879481858117705,0.9166666666666666,0.99,0.9519230769230769,0.95,0.99,0.91,652016,Tue Mar 10 20:34:02 2020
ganomaly.GANomaly,material,l2,paper,0,6231,0.5235646921396255,0.9853000000000001,0.9843586086211431,0.819672131147541,1.0,0.9009009009009009,0.89,1.0,0.78,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,l2,paper,0,6231,0.5304421067237854,0.9853000000000001,0.9843586086211431,0.8333333333333334,1.0,0.9090909090909091,0.9,1.0,0.8,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,l2,paper,0,6231,0.5365608286857605,0.9853000000000001,0.9843586086211431,0.8389830508474576,0.99,0.9082568807339448,0.9,0.99,0.81,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,l2,paper,0,6231,0.5449189925193787,0.9853000000000001,0.9843586086211431,0.853448275862069,0.99,0.9166666666666666,0.91,0.99,0.83,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,l2,paper,0,6231,0.5502886742353439,0.9853000000000001,0.9843586086211431,0.868421052631579,0.99,0.9252336448598131,0.92,0.99,0.85,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,l2,paper,0,6231,0.5557514166831969,0.9853000000000001,0.9843586086211431,0.8839285714285714,0.99,0.9339622641509434,0.93,0.99,0.87,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,l2,paper,0,6231,0.5638918042182922,0.9853000000000001,0.9843586086211431,0.8909090909090909,0.98,0.9333333333333333,0.93,0.98,0.88,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,l2,paper,0,6231,0.5670968759059907,0.9853000000000001,0.9843586086211431,0.9074074074074074,0.98,0.9423076923076924,0.94,0.98,0.9,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,cs,paper,0,6231,0.9675362980365754,0.653,0.7333766218439237,0.5327868852459017,0.65,0.5855855855855856,0.54,0.65,0.43,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,cs,paper,0,6231,0.9676194787025452,0.653,0.7333766218439237,0.5416666666666666,0.65,0.5909090909090908,0.55,0.65,0.45,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,cs,paper,0,6231,0.9677108758687972,0.653,0.7333766218439237,0.5508474576271186,0.65,0.5963302752293578,0.56,0.65,0.47,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,cs,paper,0,6231,0.967743616104126,0.653,0.7333766218439237,0.5517241379310345,0.64,0.5925925925925927,0.56,0.64,0.48,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,cs,paper,0,6231,0.967770266532898,0.653,0.7333766218439237,0.5526315789473685,0.63,0.588785046728972,0.56,0.63,0.49,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,cs,paper,0,6231,0.9678032112121582,0.653,0.7333766218439237,0.5625,0.63,0.5943396226415095,0.57,0.63,0.51,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,cs,paper,0,6231,0.9678710013628006,0.653,0.7333766218439237,0.5727272727272728,0.63,0.6000000000000001,0.58,0.63,0.53,652016,Tue Mar 10 20:34:03 2020
ganomaly.GANomaly,material,cs,paper,0,6231,0.9679164028167724,0.653,0.7333766218439237,0.5740740740740741,0.62,0.5961538461538461,0.58,0.62,0.54,652016,Tue Mar 10 20:34:03 2020
